Order_ID,Product_ID,Store_ID,Channel,Date,Quantity_Sold,Unit_Price,Discount,Customer_ID,Revenue,Gender,Age,Location,Signup_Date,Preferred_Channel,Loyalty_Status,Category,Sub_Category,Brand,Cost_Price,Launch_Date,Campaign_ID,Start_Date,End_Date,Spend,Targeted_Category,Revenue_Attributed,Profit,Customer_Age_Group,Channel_Switcher_Flag
10001,2034,17,Online,2023-05-21,1,80.18,0.12,3013,70.56,Female,19,Florida,2022-12-17,Offline,Loyal,Toys,Sub2,BrandB,36.21,2022-06-23,5020,2023-01-21,2023-07-30,2472.34,Toys,7437.4,34.35,Young,1
10001,2034,17,Online,2023-05-21,1,80.18,0.12,3013,70.56,Female,19,Florida,2022-12-17,Offline,Loyal,Toys,Sub2,BrandB,36.21,2022-06-23,5042,2023-01-23,2023-05-25,2108.81,Toys,8582.11,34.35,Young,1
10001,2034,17,Online,2023-05-21,1,80.18,0.12,3013,70.56,Female,19,Florida,2022-12-17,Offline,Loyal,Toys,Sub2,BrandB,36.21,2022-06-23,5044,2023-05-09,2023-08-20,3392.61,Toys,8797.85,34.35,Young,1
10001,2034,17,Online,2023-05-21,1,80.18,0.12,3013,70.56,Female,19,Florida,2022-12-17,Offline,Loyal,Toys,Sub2,BrandB,36.21,2022-06-23,5068,2023-02-10,2023-09-09,825.61,Toys,7988.38,34.35,Young,1
10001,2034,17,Online,2023-05-21,1,80.18,0.12,3013,70.56,Female,19,Florida,2022-12-17,Offline,Loyal,Toys,Sub2,BrandB,36.21,2022-06-23,5077,2023-03-02,2023-06-17,1747.66,Toys,4743.91,34.35,Young,1
10003,2043,14,Offline,2023-08-09,1,32.47,0.11,3380,28.9,Male,26,New York,2022-02-09,Online,New,Beauty,Sub3,BrandA,82.37,2021-01-18,5050,2023-03-08,2023-08-28,4472.76,Beauty,8528.97,-53.470000000000006,Adult,1
10006,2022,3,Online,2023-06-29,1,119.67,0.29,3342,84.97,Other,31,Texas,2022-08-28,Offline,New,Electronics,Sub3,BrandA,69.2,2021-04-08,5010,2023-02-28,2023-07-22,1965.12,Electronics,5330.69,15.769999999999996,Adult,1
10006,2022,3,Online,2023-06-29,1,119.67,0.29,3342,84.97,Other,31,Texas,2022-08-28,Offline,New,Electronics,Sub3,BrandA,69.2,2021-04-08,5032,2023-04-26,2023-07-06,3885.84,Electronics,6956.91,15.769999999999996,Adult,1
10006,2022,3,Online,2023-06-29,1,119.67,0.29,3342,84.97,Other,31,Texas,2022-08-28,Offline,New,Electronics,Sub3,BrandA,69.2,2021-04-08,5038,2023-04-18,2023-10-28,672.63,Electronics,3129.11,15.769999999999996,Adult,1
10006,2022,3,Online,2023-06-29,1,119.67,0.29,3342,84.97,Other,31,Texas,2022-08-28,Offline,New,Electronics,Sub3,BrandA,69.2,2021-04-08,5053,2023-03-30,2023-08-01,3100.45,Electronics,6138.92,15.769999999999996,Adult,1
10006,2022,3,Online,2023-06-29,1,119.67,0.29,3342,84.97,Other,31,Texas,2022-08-28,Offline,New,Electronics,Sub3,BrandA,69.2,2021-04-08,5059,2023-06-25,2023-08-05,2884.44,Electronics,1130.64,15.769999999999996,Adult,1
10006,2022,3,Online,2023-06-29,1,119.67,0.29,3342,84.97,Other,31,Texas,2022-08-28,Offline,New,Electronics,Sub3,BrandA,69.2,2021-04-08,5094,2023-02-21,2023-06-29,1504.65,Electronics,9844.12,15.769999999999996,Adult,1
10008,2017,6,Offline,2023-08-19,1,13.17,0.11,3280,11.72,Female,51,Florida,2021-01-23,Online,At Risk,Toys,Sub1,BrandA,57.57,2021-03-24,5078,2023-05-27,2023-08-30,4985.07,Toys,7720.04,-45.85,Old-aged,1
10009,2034,17,Online,2023-02-07,3,74.4,0.15,3221,189.72,Male,42,New York,2022-03-20,Offline,Loyal,Toys,Sub2,BrandB,36.21,2022-06-23,5020,2023-01-21,2023-07-30,2472.34,Toys,7437.4,81.09,Middle-aged,1
10009,2034,17,Online,2023-02-07,3,74.4,0.15,3221,189.72,Male,42,New York,2022-03-20,Offline,Loyal,Toys,Sub2,BrandB,36.21,2022-06-23,5042,2023-01-23,2023-05-25,2108.81,Toys,8582.11,81.09,Middle-aged,1
10010,2006,12,Offline,2023-03-11,4,161.18,0.15,3073,548.01,Other,46,California,2021-03-20,Online,At Risk,Beauty,Sub2,BrandB,44.83,2020-12-01,5018,2023-02-14,2023-05-26,2525.11,Beauty,9579.13,368.69,Middle-aged,1
10010,2006,12,Offline,2023-03-11,4,161.18,0.15,3073,548.01,Other,46,California,2021-03-20,Online,At Risk,Beauty,Sub2,BrandB,44.83,2020-12-01,5050,2023-03-08,2023-08-28,4472.76,Beauty,8528.97,368.69,Middle-aged,1
10010,2006,12,Offline,2023-03-11,4,161.18,0.15,3073,548.01,Other,46,California,2021-03-20,Online,At Risk,Beauty,Sub2,BrandB,44.83,2020-12-01,5074,2023-01-29,2023-07-29,2364.93,Beauty,4921.61,368.69,Middle-aged,1
10010,2006,12,Offline,2023-03-11,4,161.18,0.15,3073,548.01,Other,46,California,2021-03-20,Online,At Risk,Beauty,Sub2,BrandB,44.83,2020-12-01,5084,2023-02-24,2023-05-22,2993.82,Beauty,4454.12,368.69,Middle-aged,1
10011,2046,20,Offline,2023-04-26,2,24.72,0.0,3234,49.44,Other,41,New York,2021-08-24,Offline,New,Home,Sub1,BrandB,105.61,2021-11-18,5003,2023-02-19,2023-08-27,3427.73,Home,9916.41,-161.78,Middle-aged,0
10011,2046,20,Offline,2023-04-26,2,24.72,0.0,3234,49.44,Other,41,New York,2021-08-24,Offline,New,Home,Sub1,BrandB,105.61,2021-11-18,5006,2023-01-23,2023-05-14,4555.3,Home,8599.62,-161.78,Middle-aged,0
10011,2046,20,Offline,2023-04-26,2,24.72,0.0,3234,49.44,Other,41,New York,2021-08-24,Offline,New,Home,Sub1,BrandB,105.61,2021-11-18,5082,2023-02-13,2023-07-06,721.22,Home,5447.42,-161.78,Middle-aged,0
10012,2006,11,Online,2023-08-27,4,63.64,0.15,3260,216.38,Other,33,New York,2022-03-14,Online,New,Beauty,Sub2,BrandB,44.83,2020-12-01,5033,2023-02-20,2023-09-19,3889.91,Beauty,2867.22,37.06,Adult,0
10012,2006,11,Online,2023-08-27,4,63.64,0.15,3260,216.38,Other,33,New York,2022-03-14,Online,New,Beauty,Sub2,BrandB,44.83,2020-12-01,5090,2023-01-31,2023-10-09,1566.82,Beauty,1676.82,37.06,Adult,0
10014,2001,6,Offline,2023-05-28,2,58.72,0.29,3046,83.38,Male,58,Texas,2022-01-11,Offline,Loyal,Electronics,Sub1,BrandC,75.68,2020-04-26,5004,2023-04-05,2023-09-19,4503.59,Electronics,3228.55,-67.98000000000002,Old-aged,0
10014,2001,6,Offline,2023-05-28,2,58.72,0.29,3046,83.38,Male,58,Texas,2022-01-11,Offline,Loyal,Electronics,Sub1,BrandC,75.68,2020-04-26,5024,2023-03-08,2023-10-01,2815.57,Electronics,2657.98,-67.98000000000002,Old-aged,0
10014,2001,6,Offline,2023-05-28,2,58.72,0.29,3046,83.38,Male,58,Texas,2022-01-11,Offline,Loyal,Electronics,Sub1,BrandC,75.68,2020-04-26,5098,2023-03-18,2023-07-17,2993.26,Electronics,3920.99,-67.98000000000002,Old-aged,0
